affgeoid,geoid,name,lsad,aland,awater,cartodb_id
310M200US25420,25420,"Harrisburg-Carlisle, PA",M1,4200769972,108892430,313
310M200US31340,31340,"Lynchburg, VA",M1,5491610830,68345874,314
310M200US38220,38220,"Pine Bluff, AR",M1,5257910872,141461966,328
310M200US23820,23820,"Gardnerville Ranchos, NV",M2,1838162322,72317554,368
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ",M1,37723345418,87090580,315
310M200US26140,26140,"Homosassa Springs, FL",M1,1506814651,495875781,316
310M200US42220,42220,"Santa Rosa, CA",M1,4081401368,497545779,323
310M200US46140,46140,"Tulsa, OK",M1,16237914189,493634263,327
310M200US34660,34660,"Murray, KY",M2,997205960,66492717,388
310M200US37780,37780,"Pecos, TX",M2,6825586500,17396692,389
310M200US17640,17640,"Coco, PR",M2,179658633,115912951,332
310M200US33140,33140,"Michigan City-La Porte, IN",M1,1549587619,38747154,344
310M200US45620,45620,"Thomasville, GA",M2,1410508592,19729671,614
310M200US25200,25200,"Hailey, ID",M2,12731890656,67489913,329
310M200US18460,18460,"Cornelia, GA",M2,716754677,5917227,331
310M200US16700,16700,"Charleston-North Charleston, SC",M1,6703709452,1488568244,333
310M200US44980,44980,"Sunbury, PA",M2,1187166521,49616090,375
310M200US36260,36260,"Ogden-Clearfield, UT",M1,18724495302,3636133411,334
310M200US31740,31740,"Manhattan, KS",M1,3757530924,85659384,336
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL",M1,3363761491,826870136,349
310M200US43300,43300,"Sherman-Denison, TX",M1,2415988554,120125251,337
310M200US39020,39020,"Portsmouth, OH",M2,1580450238,15365089,340
310M200US23140,23140,"Frankfort, IN",M2,1049119213,461117,374
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",M1,13143031301,2751866387,338
310M200US23540,23540,"Gainesville, FL",M1,3172084264,257185405,343
310M200US24740,24740,"Greenville, MS",M2,1877069947,94495553,339
310M200US12700,12700,"Barnstable Town, MA",M1,1019719596,2361606157,341
310M200US16660,16660,"Charleston-Mattoon, IL",M2,2212662326,7163106,342
310M200US39980,39980,"Richmond, IN",M2,1040508995,6732227,615
310M200US12940,12940,"Baton Rouge, LA",M1,10429568950,456494883,354
310M200US41760,41760,"Sandpoint, ID",M2,4492522261,478947473,347
310M200US27100,27100,"Jackson, MI",M1,1817308254,56538562,348
310M200US41220,41220,"St. Marys, GA",M2,1588171666,436849672,345
310M200US25460,25460,"Harrison, AR",M2,3655085444,36153708,346
310M200US45340,45340,"Taos, NM",M2,5705968167,3385857,350
310M200US37220,37220,"Pahrump, NV",M2,47091007513,43208096,351
310M200US27060,27060,"Ithaca, NY",M1,1229337772,43791325,544
310M200US20220,20220,"Dubuque, IA",M1,1575502131,21124442,352
310M200US33300,33300,"Milledgeville, GA",M2,1889879863,42487868,353
310M200US10740,10740,"Albuquerque, NM",M1,24041232928,37945456,359
310M200US46060,46060,"Tucson, AZ",M1,23794315879,5272990,360
310M200US40080,40080,"Richmond-Berea, KY",M2,1952453536,19442034,355
310M200US24380,24380,"Grants, NM",M2,11757111110,5799905,361
310M200US45180,45180,"Talladega-Sylacauga, AL",M2,3594135497,100885674,366
310M200US24020,24020,"Glens Falls, NY",M1,4398124453,205555372,358
310M200US39740,39740,"Reading, PA",M1,2218272198,24025110,367
310M200US28780,28780,"Kingsville, TX",M2,6059648840,1803565198,362
310M200US22340,22340,"Fitzgerald, GA",M2,647809281,9807002,393
310M200US14380,14380,"Boone, NC",M2,809507283,2330660,363
310M200US38460,38460,"Plattsburgh, NY",M2,2688025372,206355422,364
310M200US39060,39060,"Pottsville, PA",M2,2016651911,10828773,369
310M200US34420,34420,"Mount Pleasant, TX",M2,1051675989,50735385,370
310M200US15780,15780,"Camden, AR",M2,3525859486,27976561,371
310M200US16020,16020,"Cape Girardeau, MO-IL",M1,3708762118,72939821,372
310M200US14180,14180,"Blytheville, AR",M2,2332480023,49826383,380
310M200US26660,26660,"Huntsville, TX",M2,3827510695,97543542,381
310M200US31580,31580,"Madisonville, KY",M2,1403763228,32165537,382
310M200US18900,18900,"Crossville, TN",M2,1763849608,9823894,383
310M200US15220,15220,"Brownwood, TX",M2,2446081953,32417676,385
310M200US27340,27340,"Jacksonville, NC",M1,1975580966,370722481,390
310M200US21900,21900,"Fairmont, WV",M2,799642645,7186197,391
310M200US43700,43700,"Somerset, KY",M2,1705273861,48547347,392
310M200US39140,39140,"Prescott, AZ",M1,21039908975,11501645,394
310M200US35060,35060,"Natchitoches, LA",M2,3243341639,121033799,395
310M200US29660,29660,"Laramie, WY",M2,11070466417,89161356,403
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV",M1,2017398672,25843191,397
310M200US23500,23500,"Gaffney, SC",M2,1016985666,11701043,398
310M200US46860,46860,"Vernal, UT",M2,11602247815,56187300,399
310M200US35860,35860,"North Vernon, IN",M2,975363941,4546194,400
310M200US31020,31020,"Longview, WA",M1,2953144677,67322703,401
310M200US21060,21060,"Elizabethtown-Fort Knox, KY",M1,3082734643,72562640,404
310M200US13540,13540,"Bennington, VT",M2,1748195211,6930003,405
310M200US33780,33780,"Monroe, MI",M1,1422996385,338244107,406
310M200US47180,47180,"Vincennes, IN",M2,1336514269,20755095,407
310M200US20900,20900,"El Campo, TX",M2,2813116078,21288312,528
310M200US44340,44340,"Statesboro, GA",M2,1742653960,40877525,409
310M200US26220,26220,"Hood River, OR",M2,1351717728,29106847,410
310M200US42820,42820,"Selma, AL",M2,2534807336,39134779,411
310M200US16220,16220,"Casper, WY",M1,13831870984,91060297,414
310M200US48180,48180,"Waycross, GA",M2,3133676203,106962923,415
310M200US29300,29300,"LaGrange, GA",M2,1072232597,82803339,416
310M200US12300,12300,"Augusta-Waterville, ME",M2,2246747655,216782963,421
310M200US16540,16540,"Chambersburg-Waynesboro, PA",M1,2000052145,1544300,429
310M200US21700,21700,"Eureka-Arcata-Fortuna, CA",M2,9241033392,1254256580,417
310M200US44540,44540,"Sterling, CO",M2,4761982864,16363552,430
310M200US20660,20660,"Easton, MD",M2,695511663,539408617,418
310M200US43900,43900,"Spartanburg, SC",M1,3424298865,34021566,419
310M200US32620,32620,"McComb, MS",M2,2950300898,8218947,420
310M200US44460,44460,"Steamboat Springs, CO",M2,6117617656,15831752,422
310M200US41820,41820,"Sanford, NC",M2,660333360,10584996,423
310M200US31660,31660,"Malone, NY",M2,4219272762,177029048,431
310M200US16860,16860,"Chattanooga, TN-GA",M1,5410466958,126497676,424
310M200US15260,15260,"Brunswick, GA",M1,3331968240,828442623,425
310M200US44140,44140,"Springfield, MA",M1,2964007329,90781038,426
310M200US41400,41400,"Salem, OH",M2,1377695749,7239793,427
310M200US26020,26020,"Hobbs, NM",M2,11372050898,8468365,428
310M200US42140,42140,"Santa Fe, NM",M1,4945413451,3645651,432
310M200US44300,44300,"State College, PA",M1,2874687475,7878537,434
310M200US23180,23180,"Frankfort, KY",M2,1060818755,17337082,435
310M200US34020,34020,"Morgan City, LA",M2,1438844887,1460448898,436
310M200US38420,38420,"Platteville, WI",M2,2970369851,94553895,438
310M200US20540,20540,"Dyersburg, TN",M2,1326922852,36778060,442
310M200US21540,21540,"Escanaba, MI",M2,3033127270,2124385359,440
310M200US32740,32740,"Meadville, PA",M2,2621846782,65303115,441
310M200US23860,23860,"Georgetown, SC",M2,2107094107,572624628,443
310M200US34340,34340,"Mount Airy, NC",M2,1378304980,10715018,444
310M200US37260,37260,"Palatka, FL",M2,1885200103,256515550,596
310M200US20180,20180,"DuBois, PA",M2,2964817864,23932295,484
310M200US14500,14500,"Boulder, CO",M1,1881225057,36604910,513
310M200US19760,19760,"DeRidder, LA",M2,2997502277,21998956,445
310M200US39460,39460,"Punta Gorda, FL",M1,1761959932,460931983,446
310M200US45660,45660,"Tiffin, OH",M2,1427135453,4593158,447
310M200US39420,39420,"Pullman, WA",M2,5591999541,47939274,448
310M200US34740,34740,"Muskegon, MI",M1,1295051335,2486394719,449
310M200US43220,43220,"Shelton, WA",M2,2484997510,237129533,450
310M200US42420,42420,"Scottsbluff, NE",M2,9200241500,17707405,502
310M200US33540,33540,"Missoula, MT",M1,6716922381,64484091,451
310M200US39540,39540,"Racine, WI",M1,861188661,1190383449,618
310M200US40740,40740,"Roswell, NM",M2,15708999758,25504229,644
310M200US34580,34580,"Mount Vernon-Anacortes, WA",M1,4483876220,489272212,452
310M200US30260,30260,"Lewisburg, PA",M2,818399809,4638623,453
310M200US29700,29700,"Laredo, TX",M1,8706198536,36537711,454
310M200US29540,29540,"Lancaster, PA",M1,2444466839,103571319,455
310M200US14820,14820,"Brevard, NC",M2,980388978,5135210,457
310M200US12680,12680,"Bardstown, KY",M2,1081354534,16997399,459
310M200US31820,31820,"Manitowoc, WI",M2,1525725020,2343912867,460
310M200US43620,43620,"Sioux Falls, SD",M1,6671032918,27126729,462
310M200US43500,43500,"Silver City, NM",M2,10260554397,15353565,529
310M200US40220,40220,"Roanoke, VA",M1,4839940345,72650058,463
310M200US49180,49180,"Winston-Salem, NC",M1,5201850702,80932466,474
310M200US22900,22900,"Fort Smith, AR-OK",M1,8773671047,221594616,464
310M200US47420,47420,"Wahpeton, ND-MN",M2,5663688420,25518438,587
310M200US38780,38780,"Portales, NM",M2,6339061458,18703747,657
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI",M1,18639863244,6168548479,465
310M200US38180,38180,"Pierre, SD",M2,8269321606,506021733,514
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA",M1,22485743389,398493080,466
310M200US20140,20140,"Dublin, GA",M2,2875696046,38204428,788
310M200US14540,14540,"Bowling Green, KY",M1,4182598774,62146178,467
310M200US26820,26820,"Idaho Falls, ID",M1,13457008103,126028516,468
310M200US41140,41140,"St. Joseph, MO-KS",M1,4287703404,50999768,469
310M200US10660,10660,"Albert Lea, MN",M2,1831347177,39714549,508
310M200US17540,17540,"Clinton, IA",M2,1799830912,39514668,507
310M200US45220,45220,"Tallahassee, FL",M1,6184147166,556504751,470
310M200US30300,30300,"Lewiston, ID-WA",M1,3844328345,32663427,526
310M200US10500,10500,"Albany, GA",M1,5005396082,65702432,471
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL",M1,4108675135,1079745490,472
310M200US29900,29900,"Laurinburg, NC",M2,825813472,3821988,679
310M200US25980,25980,"Hinesville, GA",M1,2307131786,299278593,483
310M200US40340,40340,"Rochester, MN",M1,6415950878,74793561,488
310M200US15540,15540,"Burlington-South Burlington, VT",M1,3242924317,657475011,473
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT",M1,3922858928,238539987,478
310M200US36460,36460,"Olean, NY",M2,3388617683,36604676,619
310M200US19420,19420,"Dayton, TN",M2,816822921,54463447,620
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL",M1,6511715485,2116363967,475
310M200US40180,40180,"Riverton, WY",M2,23786070473,212130290,485
310M200US45900,45900,"Traverse City, MI",M2,4379940143,7440196033,479
310M200US17140,17140,"Cincinnati, OH-KY-IN",M1,10788785505,192507575,480
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC",M1,4240784144,75213961,497
310M200US41540,41540,"Salisbury, MD-DE",M1,5435116412,2080609903,481
310M200US49740,49740,"Yuma, AZ",M1,14281187259,13175612,482
310M200US17580,17580,"Clovis, NM",M2,3638390107,8177722,651
310M200US30860,30860,"Logan, UT-ID",M1,4735748884,33321451,489
310M200US24260,24260,"Grand Island, NE",M1,5551275072,67070836,661
310M200US47080,47080,"Vidalia, GA",M2,1563141371,31476878,503
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",M1,19780993169,1248900916,486
310M200US29200,29200,"Lafayette-West Lafayette, IN",M1,3311166911,16373698,487
310M200US28660,28660,"Killeen-Temple, TX",M1,7293535549,110014401,494
310M200US29100,29100,"La Crosse-Onalaska, WI-MN",M1,2599673734,116619408,490
310M200US10580,10580,"Albany-Schenectady-Troy, NY",M1,7282102948,172593194,491
310M200US24940,24940,"Greenwood, SC",M2,2448090427,74346324,515
310M200US43460,43460,"Sikeston, MO",M2,1087765670,15199719,517
310M200US12420,12420,"Austin-Round Rock, TX",M1,10929925273,155426534,551
310M200US17780,17780,"College Station-Bryan, TX",M1,5439440249,86065301,492
310M200US39580,39580,"Raleigh, NC",M1,5486334833,75209779,493
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL",M1,9010971029,1378883738,496
310M200US16820,16820,"Charlottesville, VA",M1,5759364223,45553943,505
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",M1,16321412291,197971309,498
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA",M1,11265537355,149046392,500
310M200US44420,44420,"Staunton-Waynesboro, VA",M1,2595234255,10537830,506
310M200US19820,19820,"Detroit-Warren-Dearborn, MI",M1,10072889357,897205561,504
310M200US17220,17220,"Clarksburg, WV",M2,2353000582,10811562,564
310M200US46520,46520,"Urban Honolulu, HI",M1,1555614857,4054819637,509
310M200US30020,30020,"Lawton, OK",M1,4408014296,61426331,527
310M200US37580,37580,"Paris, TX",M2,2349622252,67103114,510
310M200US27900,27900,"Joplin, MO",M1,3271758255,11950935,511
310M200US29460,29460,"Lakeland-Winter Haven, FL",M1,4656150384,550911349,624
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA",M1,4773381220,945947857,512
310M200US45380,45380,"Taylorville, IL",M2,1837278878,16221508,856
310M200US35980,35980,"Norwich-New London, CT",M1,1722462361,276799233,518
310M200US10780,10780,"Alexandria, LA",M1,5079062450,169057036,532
310M200US43780,43780,"South Bend-Mishawaka, IN-MI",M1,2455177044,56341408,662
310M200US36380,36380,"Okeechobee, FL",M2,1991730054,318560333,541
310M200US33660,33660,"Mobile, AL",M1,3184117214,1073855913,533
310M200US26860,26860,"Indiana, PA",M2,2141999615,18812207,534
310M200US32500,32500,"Maysville, KY",M2,621929398,16276296,588
310M200US18580,18580,"Corpus Christi, TX",M1,4620624351,1599394603,520
310M200US15860,15860,"Cañon City, CO",M2,3970640039,2235391,521
310M200US30820,30820,"Lock Haven, PA",M2,2299868499,23178617,547
310M200US17380,17380,"Cleveland, MS",M2,2270314529,75742116,522
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA",M1,5205808142,96169205,523
310M200US36140,36140,"Ocean City, NJ",M1,651209912,955666225,524
310M200US31860,31860,"Mankato-North Mankato, MN",M1,3098495071,93236413,525
310M200US32220,32220,"Marshall, TX",M2,2330820964,40969626,535
310M200US13420,13420,"Bemidji, MN",M2,6487146049,1426174983,548
310M200US49420,49420,"Yakima, WA",M1,11125444980,41107261,577
310M200US18260,18260,"Cookeville, TN",M2,2960919731,35497904,536
310M200US26090,26090,"Holland, MI",M2,2137343981,2610850584,863
310M200US49340,49340,"Worcester, MA-CT",M1,5240892553,199153478,537
310M200US41740,41740,"San Diego-Carlsbad, CA",M1,10895213672,826296339,538
310M200US31420,31420,"Macon, GA",M1,4461725568,38847836,539
310M200US45820,45820,"Topeka, KS",M1,8372473532,148304222,540
310M200US39860,39860,"Red Wing, MN",M2,1960200565,61025133,555
310M200US21020,21020,"Elizabeth City, NC",M2,1851030277,554076240,543
310M200US27220,27220,"Jackson, WY-ID",M2,11512074947,575103836,542
310M200US12020,12020,"Athens-Clarke County, GA",M1,2654353456,26370451,563
310M200US28300,28300,"Keene, NH",M2,1830366195,57990900,545
310M200US13820,13820,"Birmingham-Hoover, AL",M1,13674030017,233616466,546
310M200US15700,15700,"Cambridge, MD",M2,1400531473,1145398225,549
310M200US48620,48620,"Wichita, KS",M1,12981358617,92861352,732
310M200US35140,35140,"Newberry, SC",M2,1631805561,44657899,552
310M200US38740,38740,"Poplar Bluff, MO",M2,1799185240,11194772,553
310M200US27860,27860,"Jonesboro, AR",M1,3795886825,27667813,554
310M200US30880,30880,"Logan, WV",M2,1175311683,4728037,576
310M200US37620,37620,"Parkersburg-Vienna, WV",M1,1550810383,33051014,556
310M200US24580,24580,"Green Bay, WI",M1,4843746690,2534614910,557
310M200US24500,24500,"Great Falls, MT",M1,6988418163,34238464,568
310M200US29740,29740,"Las Cruces, NM",M1,9862372174,17591659,559
310M200US36620,36620,"Ontario, OR-ID",M2,26662233039,118070416,558
310M200US28820,28820,"Kinston, NC",M2,1037491853,5802398,572
310M200US38940,38940,"Port St. Lucie, FL",M1,2888888624,843117752,573
310M200US46700,46700,"Vallejo-Fairfield, CA",M1,2128362628,218664495,560
310M200US11140,11140,"Americus, GA",M2,1682459688,28168003,561
310M200US23300,23300,"Freeport, IL",M2,1462175841,1385929,562
310M200US19260,19260,"Danville, VA",M2,2620773956,26514035,574
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC",M1,3189787043,1013139045,565
310M200US47460,47460,"Walla Walla, WA",M1,5539408616,87394643,566
310M200US15420,15420,"Burley, ID",M2,8605672365,53190885,567
310M200US15820,15820,"Campbellsville, KY",M2,689791762,27162505,575
310M200US44660,44660,"Stillwater, OK",M2,1773393768,31771389,885
310M200US16060,16060,"Carbondale-Marion, IL",M1,2600958222,110062732,569
310M200US47020,47020,"Victoria, TX",M1,4491432457,36383637,570
310M200US11940,11940,"Athens, TN",M2,1114009044,5340544,571
310M200US40380,40380,"Rochester, NY",M1,8459599412,5126898044,580
310M200US22280,22280,"Fernley, NV",M2,5182918074,59602521,585
310M200US23620,23620,"Gainesville, TX",M2,2265616170,61333858,584
310M200US22800,22800,"Fort Madison-Keokuk, IA-IL-MO",M2,4703265394,127299956,839
310M200US34220,34220,"Moultrie, GA",M2,1409383646,32304997,586
310M200US44060,44060,"Spokane-Spokane Valley, WA",M1,14611487513,272314704,581
310M200US22660,22660,"Fort Collins, CO",M1,6723925862,98109570,594
310M200US38340,38340,"Pittsfield, MA",M1,2400493140,50744639,743
310M200US24620,24620,"Greeneville, TN",M2,1611346172,5099643,582
310M200US45740,45740,"Toccoa, GA",M2,463948108,13121937,583
310M200US22580,22580,"Forest City, NC",M2,1460866901,4676879,606
310M200US37460,37460,"Panama City, FL",M1,3398182827,1205718105,589
310M200US19000,19000,"Cullowhee, NC",M2,1271085217,9779074,590
310M200US27460,27460,"Jamestown-Dunkirk-Fredonia, NY",M2,2745973888,1139483730,705
310M200US13380,13380,"Bellingham, WA",M1,5456494469,1027129386,592
310M200US22140,22140,"Farmington, NM",M1,14278838629,65673301,593
310M200US33180,33180,"Middlesborough, KY",M2,929806589,5480855,597
310M200US47780,47780,"Washington, IN",M2,1112371102,19127743,675
310M200US29380,29380,"Lake City, FL",M2,2065626739,9773959,630
310M200US40940,40940,"Safford, AZ",M2,11972307736,47704127,598
310M200US46660,46660,"Valdosta, GA",M1,4116442098,102347808,599
310M200US49700,49700,"Yuba City, CA",M1,3197202340,46750406,607
310M200US40580,40580,"Rocky Mount, NC",M1,2708235052,9748810,633
310M200US17420,17420,"Cleveland, TN",M1,1977283643,26793304,631
310M200US36020,36020,"Oak Harbor, WA",M2,539898584,800096249,600
310M200US42780,42780,"Selinsgrove, PA",M2,851343884,7291931,715
310M200US14140,14140,"Bluefield, WV-VA",M2,2428930725,7349349,601
310M200US38620,38620,"Ponca City, OK",M2,2382084814,65369699,753
310M200US31540,31540,"Madison, WI",M1,8571060358,200235637,608
310M200US20700,20700,"East Stroudsburg, PA",M1,1575560081,23131118,603
310M200US36420,36420,"Oklahoma City, OK",M1,14274998021,181581533,829
310M200US40700,40700,"Roseburg, OR",M2,13044369135,252033343,602
310M200US48700,48700,"Williamsport, PA",M1,3182061079,39456941,612
310M200US48780,48780,"Williston, ND",M2,5380439857,182522840,604
310M200US39660,39660,"Rapid City, SD",M1,20213817245,56156476,605
310M200US23700,23700,"Gallup, NM",M2,14114969855,14130259,634
310M200US15460,15460,"Burlington, IA-IL",M2,2059054819,77608432,757
310M200US11060,11060,"Altus, OK",M2,2078855902,4114419,609
310M200US35440,35440,"Newport, OR",M2,2537577041,554316228,903
310M200US46340,46340,"Tyler, TX",M1,2386630581,73136762,610
310M200US39900,39900,"Reno, NV",M1,17004014251,623065119,625
310M200US31700,31700,"Manchester-Nashua, NH",M1,2269220238,41604845,626
310M200US15680,15680,"California-Lexington Park, MD",M1,925191724,1054210199,623
